,sentiment,city,country,region
188,neutral,Riyadh,Saudi Arabia,Gulf
189,neutral,Riyadh,Saudi Arabia,Gulf
190,neutral,Riyadh,Saudi Arabia,Gulf
191,neutral,Riyadh,Saudi Arabia,Gulf
192,neutral,Rabat,Morocco,Maghreb
193,neutral,Rabat,Morocco,Maghreb
194,neutral,Salt,Jordan,Levant
195,negative,Riyadh,Saudi Arabia,Gulf
196,neutral,Salt,Jordan,Levant
197,positive,Salt,Jordan,Levant
198,neutral,Jeddha,Saudi Arabia,Gulf
199,neutral,Jeddha,Saudi Arabia,Gulf
200,neutral,Riyadh,Saudi Arabia,Gulf
201,negative,Riyadh,Saudi Arabia,Gulf
202,negative,Riyadh,Saudi Arabia,Gulf
203,neutral,Salt,Jordan,Levant
204,neutral,Riyadh,Saudi Arabia,Gulf
205,negative,Riyadh,Saudi Arabia,Gulf
206,neutral,Riyadh,Saudi Arabia,Gulf
207,positive,Riyadh,Saudi Arabia,Gulf
208,negative,Salt,Jordan,Levant
209,neutral,Riyadh,Saudi Arabia,Gulf
210,neutral,Riyadh,Saudi Arabia,Gulf
211,neutral,Riyadh,Saudi Arabia,Gulf
212,neutral,Salt,Jordan,Levant
213,negative,Salt,Saudi Arabia,Gulf
214,neutral,Jeddha,Saudi Arabia,Gulf
215,neutral,Riyadh,Saudi Arabia,Gulf
216,negative,Riyadh,Saudi Arabia,Gulf
217,negative,Riyadh,Saudi Arabia,Gulf
218,neutral,Riyadh,Saudi Arabia,Gulf
219,negative,Riyadh,Saudi Arabia,Gulf
220,neutral,Riyadh,Saudi Arabia,Gulf
221,positive,Salt,Jordan,Levant
222,negative,Riyadh,Saudi Arabia,Gulf
223,negative,Salt,Jordan,Levant
224,negative,Jeddha,Saudi Arabia,Gulf
225,neutral,Riyadh,Saudi Arabia,Gulf
226,neutral,Riyadh,Saudi Arabia,Gulf
227,neutral,Riyadh,Saudi Arabia,Gulf
228,neutral,Riyadh,Saudi Arabia,Gulf
229,negative,Salt,Saudi Arabia,Gulf
230,neutral,Salt,Jordan,Levant
231,negative,Riyadh,Saudi Arabia,Gulf
232,neutral,Amman,Syria,Levant
233,neutral,Amman,Syria,Levant
234,neutral,Riyadh,Saudi Arabia,Gulf
235,neutral,Riyadh,Saudi Arabia,Gulf
236,neutral,Riyadh,Saudi Arabia,Gulf
237,neutral,Riyadh,Saudi Arabia,Gulf
238,negative,Amman,Syria,Levant
239,neutral,Riyadh,Saudi Arabia,Gulf
240,neutral,Riyadh,Saudi Arabia,Gulf
241,neutral,Riyadh,Saudi Arabia,Gulf
242,neutral,Riyadh,Saudi Arabia,Gulf
243,neutral,Riyadh,Saudi Arabia,Gulf
244,negative,Jeddha,Saudi Arabia,Gulf
245,positive,Riyadh,Saudi Arabia,Gulf
246,neutral,Riyadh,Saudi Arabia,Gulf
247,neutral,Salt,Jordan,Levant
248,negative,Salt,Saudi Arabia,Gulf
249,negative,Salt,Jordan,Levant
250,negative,Jeddha,Saudi Arabia,Gulf
251,negative,Salt,Jordan,Levant
252,neutral,Salt,Jordan,Levant
253,negative,Riyadh,Saudi Arabia,Gulf
254,negative,Riyadh,Saudi Arabia,Gulf
255,negative,Riyadh,Saudi Arabia,Gulf
256,neutral,Riyadh,Saudi Arabia,Gulf
257,neutral,Riyadh,Saudi Arabia,Gulf
258,negative,Riyadh,Saudi Arabia,Gulf
259,neutral,Jeddha,Saudi Arabia,Gulf
260,negative,Riyadh,Saudi Arabia,Gulf
261,neutral,Riyadh,Saudi Arabia,Gulf
262,negative,Riyadh,Saudi Arabia,Gulf
263,neutral,Riyadh,Saudi Arabia,Gulf
264,neutral,Riyadh,Saudi Arabia,Gulf
265,negative,Riyadh,Saudi Arabia,Gulf
266,neutral,Riyadh,Saudi Arabia,Gulf
267,neutral,Riyadh,Saudi Arabia,Gulf
268,negative,Salt,Jordan,Levant
269,negative,Riyadh,Saudi Arabia,Gulf
270,neutral,Riyadh,Saudi Arabia,Gulf
271,negative,Riyadh,Saudi Arabia,Gulf
272,negative,Riyadh,Saudi Arabia,Gulf
273,neutral,Riyadh,Saudi Arabia,Gulf
274,negative,Riyadh,Saudi Arabia,Gulf
275,negative,Riyadh,Saudi Arabia,Gulf
276,negative,Riyadh,Saudi Arabia,Gulf
277,neutral,Riyadh,Saudi Arabia,Gulf
278,neutral,Riyadh,Saudi Arabia,Gulf
279,negative,Riyadh,Saudi Arabia,Gulf
280,neutral,Rabat,Morocco,Maghreb
281,negative,Riyadh,Saudi Arabia,Gulf
282,negative,Riyadh,Saudi Arabia,Gulf
283,negative,Riyadh,Saudi Arabia,Gulf
284,negative,Riyadh,Saudi Arabia,Gulf
285,neutral,Jeddha,Saudi Arabia,Gulf
286,negative,Riyadh,Saudi Arabia,Gulf
287,neutral,Riyadh,Saudi Arabia,Gulf
288,neutral,Riyadh,Saudi Arabia,Gulf
289,neutral,Riyadh,Saudi Arabia,Gulf
290,neutral,Jeddha,Saudi Arabia,Gulf
291,negative,Riyadh,Saudi Arabia,Gulf
292,negative,Riyadh,Saudi Arabia,Gulf
293,negative,Riyadh,Saudi Arabia,Gulf
294,neutral,Riyadh,Saudi Arabia,Gulf
295,neutral,Riyadh,Saudi Arabia,Gulf
296,neutral,Jeddha,Saudi Arabia,Gulf
