,sentiment,city,country,region
15435,neutral,Riyadh,Saudi Arabia,Gulf
15436,neutral,Riyadh,Saudi Arabia,Gulf
15437,neutral,Salt,Jordan,Levant
15438,neutral,Salt,Jordan,Levant
15439,negative,Salt,Jordan,Levant
15440,neutral,Salt,Jordan,Levant
15441,neutral,Salt,Jordan,Levant
15442,negative,Riyadh,Saudi Arabia,Gulf
15443,neutral,Salt,Jordan,Levant
15444,neutral,Salt,Jordan,Levant
15445,neutral,Salt,Jordan,Levant
15446,neutral,Salt,Jordan,Levant
15447,negative,Jeddha,Saudi Arabia,Gulf
15448,negative,Riyadh,Saudi Arabia,Gulf
15449,negative,Riyadh,Saudi Arabia,Gulf
15450,neutral,Salt,Jordan,Levant
15451,neutral,Riyadh,Saudi Arabia,Gulf
15452,neutral,Salt,Jordan,Levant
15453,neutral,Riyadh,Saudi Arabia,Gulf
15454,negative,Salt,Jordan,Levant
15455,neutral,Riyadh,Saudi Arabia,Gulf
15456,negative,Jeddha,Saudi Arabia,Gulf
15457,neutral,Riyadh,Saudi Arabia,Gulf
15458,neutral,Salt,Jordan,Levant
15459,neutral,Salt,Jordan,Levant
15460,negative,Riyadh,Saudi Arabia,Gulf
15461,neutral,Salt,Jordan,Levant
15462,neutral,Salt,Jordan,Levant
15463,neutral,Salt,Jordan,Levant
15464,neutral,Riyadh,Saudi Arabia,Gulf
15465,negative,Riyadh,Saudi Arabia,Gulf
15466,neutral,Salt,Jordan,Levant
15467,positive,Riyadh,Saudi Arabia,Gulf
15468,positive,Riyadh,Saudi Arabia,Gulf
15469,neutral,Riyadh,Saudi Arabia,Gulf
15470,neutral,Riyadh,Saudi Arabia,Gulf
15471,negative,Riyadh,Saudi Arabia,Gulf
15472,neutral,Riyadh,Saudi Arabia,Gulf
15473,positive,Riyadh,Saudi Arabia,Gulf
15474,positive,Riyadh,Saudi Arabia,Gulf
15475,neutral,Salt,Jordan,Levant
15476,positive,Riyadh,Saudi Arabia,Gulf
15477,positive,Riyadh,Saudi Arabia,Gulf
15478,negative,Salt,Jordan,Levant
15479,positive,Riyadh,Saudi Arabia,Gulf
15480,positive,Riyadh,Saudi Arabia,Gulf
15481,neutral,Salt,Jordan,Levant
15482,neutral,Riyadh,Saudi Arabia,Gulf
15483,positive,Riyadh,Saudi Arabia,Gulf
15484,neutral,Riyadh,Saudi Arabia,Gulf
15485,negative,Salt,Jordan,Levant
15486,neutral,Salt,Jordan,Levant
15487,negative,Salt,Jordan,Levant
15488,negative,Salt,Jordan,Levant
15489,negative,Salt,Jordan,Levant
15490,negative,Salt,Jordan,Levant
15491,negative,Salt,Jordan,Levant
15492,neutral,Salt,Jordan,Levant
15493,negative,Salt,Jordan,Levant
15494,negative,Salt,Jordan,Levant
15495,neutral,Jeddha,Saudi Arabia,Levant
15496,neutral,Salt,Jordan,Levant
15497,negative,Salt,Jordan,Levant
15498,neutral,Riyadh,Saudi Arabia,Gulf
15499,negative,Salt,Jordan,Levant
15500,negative,Salt,Jordan,Levant
15501,negative,Salt,Jordan,Levant
15502,negative,Salt,Jordan,Levant
15503,neutral,Riyadh,Saudi Arabia,Gulf
15504,negative,Salt,Jordan,Levant
15505,negative,Salt,Jordan,Levant
15506,negative,Salt,Jordan,Levant
15507,negative,Salt,Jordan,Levant
15508,neutral,Salt,Jordan,Levant
15509,neutral,Riyadh,Saudi Arabia,Gulf
15510,neutral,Riyadh,Saudi Arabia,Gulf
15511,negative,Salt,Jordan,Levant
15512,neutral,Riyadh,Saudi Arabia,Gulf
15513,negative,Salt,Jordan,Levant
15514,negative,Salt,Jordan,Levant
15515,negative,Salt,Jordan,Levant
15516,negative,Riyadh,Saudi Arabia,Gulf
15517,negative,Riyadh,Saudi Arabia,Gulf
15518,negative,Salt,Jordan,Levant
15519,negative,Riyadh,Saudi Arabia,Gulf
15520,negative,Riyadh,Saudi Arabia,Gulf
15521,neutral,Riyadh,Saudi Arabia,Gulf
15522,negative,Salt,Jordan,Levant
15523,negative,Salt,Jordan,Levant
15524,negative,Salt,Jordan,Levant
15525,negative,Salt,Jordan,Levant
15526,negative,Salt,Jordan,Levant
15527,negative,Salt,Jordan,Levant
15528,neutral,Salt,Jordan,Levant
15529,neutral,Riyadh,Saudi Arabia,Gulf
15530,negative,Salt,Jordan,Levant
15531,negative,Riyadh,Saudi Arabia,Gulf
15532,neutral,Riyadh,Saudi Arabia,Gulf
15533,negative,Salt,Jordan,Levant
15534,neutral,Riyadh,Saudi Arabia,Gulf
15535,neutral,Riyadh,Saudi Arabia,Gulf
15536,negative,Riyadh,Saudi Arabia,Gulf
15537,negative,Salt,Jordan,Levant
15538,neutral,Riyadh,Saudi Arabia,Gulf
15539,negative,Salt,Jordan,Levant
15540,neutral,Riyadh,Saudi Arabia,Gulf
15541,negative,Riyadh,Saudi Arabia,Gulf
15542,negative,Salt,Jordan,Levant
15543,neutral,Riyadh,Saudi Arabia,Gulf
15544,neutral,Riyadh,Saudi Arabia,Gulf
15545,neutral,Riyadh,Saudi Arabia,Gulf
15546,neutral,Rabat,Morocco,Maghreb
15547,positive,Riyadh,Saudi Arabia,Gulf
15548,negative,Riyadh,Saudi Arabia,Gulf
15549,neutral,Riyadh,Saudi Arabia,Gulf
15550,negative,Salt,Jordan,Levant
15551,neutral,Riyadh,Saudi Arabia,Gulf
15552,negative,Salt,Jordan,Levant
15553,neutral,Riyadh,Saudi Arabia,Gulf
15554,neutral,Riyadh,Saudi Arabia,Gulf
15555,neutral,Riyadh,Saudi Arabia,Gulf
15556,neutral,Riyadh,Saudi Arabia,Gulf
15557,neutral,Riyadh,Saudi Arabia,Gulf
15558,negative,Salt,Jordan,Levant
15559,neutral,Riyadh,Saudi Arabia,Gulf
15560,negative,Riyadh,Saudi Arabia,Gulf
15561,neutral,Riyadh,Saudi Arabia,Gulf
15562,neutral,Riyadh,Saudi Arabia,Gulf
15563,neutral,Salt,Jordan,Levant
15564,neutral,Riyadh,Saudi Arabia,Gulf
15565,neutral,Riyadh,Saudi Arabia,Gulf
15566,neutral,Riyadh,Saudi Arabia,Gulf
15567,negative,Jeddha,Saudi Arabia,Gulf
15568,negative,Salt,Jordan,Levant
15569,negative,Salt,Jordan,Levant
15570,negative,Riyadh,Saudi Arabia,Gulf
15571,negative,Riyadh,Saudi Arabia,Gulf
15572,neutral,Riyadh,Saudi Arabia,Gulf
15573,neutral,Salt,Jordan,Levant
15574,negative,Riyadh,Saudi Arabia,Gulf
15575,neutral,Riyadh,Saudi Arabia,Gulf
15576,neutral,Riyadh,Saudi Arabia,Gulf
15577,negative,Jeddha,Saudi Arabia,Gulf
15578,negative,Jeddha,Saudi Arabia,Gulf
15579,neutral,Riyadh,Saudi Arabia,Gulf
15580,negative,Jeddha,Saudi Arabia,Gulf
15581,neutral,Jeddha,Saudi Arabia,Gulf
15582,negative,Riyadh,Saudi Arabia,Gulf
15583,neutral,Salt,Jordan,Levant
15584,negative,Jeddha,Saudi Arabia,Gulf
15585,negative,Jeddha,Saudi Arabia,Gulf
15586,negative,Jeddha,Saudi Arabia,Gulf
15587,negative,Jeddha,Saudi Arabia,Gulf
15588,negative,Riyadh,Saudi Arabia,Gulf
15589,negative,Riyadh,Saudi Arabia,Gulf
15590,negative,Jeddha,Saudi Arabia,Gulf
